GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons FileUpload,org.apache.commons.fileupload,MultipartStream.ItemInputStream,89,260,19,27,25,57,15,19,3,8
Commons FileUpload,org.apache.commons.fileupload,FileUploadBase.FileItemIteratorImpl.FileItemStreamImpl.new LimitedInputStream() {...},0,55,0,0,0,7,0,2,0,2
Commons FileUpload,org.apache.commons.fileupload,MultipartStream.MalformedStreamException,3,4,0,0,2,2,1,1,1,1
Commons FileUpload,org.apache.commons.fileupload,InvalidFileNameException,0,10,0,0,0,4,0,2,0,2
Commons FileUpload,org.apache.commons.fileupload,FileUpload,0,16,0,0,0,8,0,4,0,4
Commons FileUpload,org.apache.commons.fileupload,FileUploadBase.FileItemIteratorImpl.new LimitedInputStream() {...},36,0,0,0,3,0,2,0,2,0
Commons FileUpload,org.apache.commons.fileupload,FileUploadBase.UnknownSizeException,7,0,0,0,4,0,2,0,2,0
Commons FileUpload,org.apache.commons.fileupload,FileUploadBase,161,393,21,35,45,110,32,24,15,13
Commons FileUpload,org.apache.commons.fileupload,MultipartStream.ProgressNotifier,9,32,1,1,1,12,1,4,0,4
Commons FileUpload,org.apache.commons.fileupload,ParameterParser,15,421,8,70,4,88,9,42,1,11
Commons FileUpload,org.apache.commons.fileupload,FileUploadBase.SizeException,3,13,0,0,1,5,1,2,1,2
Commons FileUpload,org.apache.commons.fileupload,FileItemStream.ItemSkippedException,3,0,0,0,1,0,1,0,1,0
Commons FileUpload,org.apache.commons.fileupload,FileUploadBase.FileItemIteratorImpl,81,262,19,31,16,71,15,15,0,5
Commons FileUpload,org.apache.commons.fileupload,FileUploadBase.FileSizeLimitExceededException,6,14,0,0,2,6,2,3,2,3
Commons FileUpload,org.apache.commons.fileupload,FileUploadBase.SizeLimitExceededException,18,0,0,0,6,0,3,0,3,0
Commons FileUpload,org.apache.commons.fileupload,DiskFileUpload,49,8,0,0,16,3,8,1,8,1
Commons FileUpload,org.apache.commons.fileupload,FileUploadBase.InvalidContentTypeException,3,4,0,0,2,2,1,1,1,1
Commons FileUpload,org.apache.commons.fileupload,FileUploadBase.FileUploadIOException,0,9,0,0,0,4,0,2,0,2
Commons FileUpload,org.apache.commons.fileupload,FileUploadException,33,15,4,0,12,6,5,3,3,3
Commons FileUpload,org.apache.commons.fileupload,DefaultFileItem,0,9,0,0,0,2,0,1,0,1
Commons FileUpload,org.apache.commons.fileupload,FileUploadBase.FileItemIteratorImpl.FileItemStreamImpl,59,75,5,5,12,21,6,8,2,7
Commons FileUpload,org.apache.commons.fileupload,MultipartStream,71,456,6,38,21,93,10,31,4,15
Commons FileUpload,org.apache.commons.fileupload,FileUploadBase.IOFileUploadException,0,10,0,0,0,4,0,2,0,2
Commons FileUpload,org.apache.commons.fileupload,DefaultFileItemFactory,0,20,0,0,0,6,0,3,0,3
Commons FileUpload,org.apache.commons.fileupload,MultipartStream.IllegalBoundaryException,7,0,0,0,4,0,2,0,2,0
Commons FileUpload,org.apache.commons.fileupload.portlet,PortletRequestContext,37,0,0,0,10,0,6,0,6,0
Commons FileUpload,org.apache.commons.fileupload.portlet,PortletFileUpload,27,0,0,0,7,0,5,0,5,0
Commons FileUpload,org.apache.commons.fileupload.disk,DiskFileItemFactory,17,45,1,1,7,14,4,6,3,6
Commons FileUpload,org.apache.commons.fileupload.disk,DiskFileItem,168,349,25,31,50,95,24,31,7,20
Commons FileUpload,org.apache.commons.fileupload.util,LimitedInputStream,22,42,2,4,6,14,2,7,1,5
Commons FileUpload,org.apache.commons.fileupload.util,Streams,28,115,2,22,8,36,4,13,2,3
Commons FileUpload,org.apache.commons.fileupload.util,FileItemHeadersImpl,0,86,0,6,0,22,0,8,0,5
Commons FileUpload,org.apache.commons.fileupload.servlet,ServletFileUpload,31,14,6,0,9,5,5,3,2,3
Commons FileUpload,org.apache.commons.fileupload.servlet,FileCleanerCleanup,43,0,2,0,11,0,7,0,6,0
Commons FileUpload,org.apache.commons.fileupload.servlet,ServletRequestContext,15,22,0,0,3,7,1,5,1,5
